fare_id,route_id,origin_id,destination_id,contains_id
1,20,,,
1,,,,
1,21,,,
1,22,,,
1,23,,,
1,246,,,
1,247,,,
1,25,,,
1,256,,,
1,26,,,
1,27,,,
1,270,,,
1,287,,,
1,288,,,
1,288L,,,
1,288M,,,
1,31,,,
1,37,,,
1,39,,,
1,40,,,
1,42,,,
1,44,,,
1,47,,,
1,500,,,
1,51,,,
1,52,,,
1,522,,,
1,523,,,
1,53,,,
1,55,,,
1,56,,,
1,57,,,
1,59,,,
1,60,,,
1,61,,,
1,64A,,,
1,64B,,,
1,66,,,
1,68,,,
1,70,,,
1,71,,,
1,72,,,
1,73,,,
1,77,,,
1,83,,,
1,84,,,
1,85,,,
1,86,,,
1,87,,,
1,89,,,
1,BBGBS,,,
2,101,,,
2,102,,,
2,103,,,
2,104,,,
2,121,,,
2,,,,
2,168,,,
2,181,,,
2,,,,
2,,,,
2,,,,
3,911,,,
3,912,,,
3,913,,,
3,914,,,
3,Blue,,,
3,BlueN,,,
3,BlueS,,,
3,Green,,,
3,GrenN,,,
3,GrenS,,,
3,Ornge,,,
4,911,,,
4,912,,,
4,913,,,
4,914,,,
4,Blue,,,
4,BlueN,,,
4,BlueS,,,
4,Green,,,
4,GrenN,,,
4,GrenS,,,
4,Ornge,,,
5,822,,,
5,823,,,
5,824,,,
5,825,,,
5,826,,,
5,827,,,
5,828,,,
5,831,,,
